"","usertype","timestamp","freq"
"175","Annual Member",1428278400,110
"176","Annual Member",1428364800,269
"177","Annual Member",1428451200,320
"178","Annual Member",1428537600,305
"179","Annual Member",1428624000,303
"180","Annual Member",1428710400,239
"181","Annual Member",1428796800,97
"182","Annual Member",1428883200,104
"183","Annual Member",1428969600,186
"184","Annual Member",1429056000,295
"185","Annual Member",1429142400,311
"186","Annual Member",1429228800,352
"187","Annual Member",1429315200,324
"188","Annual Member",1429401600,195
"189","Annual Member",1429488000,132
"190","Annual Member",1429574400,358
"191","Annual Member",1429660800,322
"192","Annual Member",1429747200,360
"193","Annual Member",1429833600,269
"194","Annual Member",1429920000,282
"195","Annual Member",1430006400,133
"196","Annual Member",1430092800,142
"197","Annual Member",1430179200,330
"198","Annual Member",1430265600,255
"199","Annual Member",1430352000,288
"200","Annual Member",1430438400,338
"201","Annual Member",1430524800,314
"202","Annual Member",1430611200,160
"203","Annual Member",1430697600,159
"204","Annual Member",1430784000,320
"205","Annual Member",1430870400,267
"206","Annual Member",1430956800,341
"207","Annual Member",1431043200,403
"208","Annual Member",1431129600,419
"209","Annual Member",1431216000,218
"210","Annual Member",1431302400,153
"211","Annual Member",1431388800,340
"212","Annual Member",1431475200,358
"213","Annual Member",1431561600,272
"214","Annual Member",1431648000,353
"215","Annual Member",1431734400,358
"216","Annual Member",1431820800,133
"217","Annual Member",1431907200,141
"218","Annual Member",1431993600,340
"219","Annual Member",1432080000,345
"220","Annual Member",1432166400,377
"221","Annual Member",1432252800,391
"222","Annual Member",1432339200,272
"223","Annual Member",1432425600,153
"224","Annual Member",1432512000,120
"225","Annual Member",1432598400,126
"226","Annual Member",1432684800,342
"227","Annual Member",1432771200,391
"228","Annual Member",1432857600,383
"229","Annual Member",1432944000,380
"230","Annual Member",1433030400,179
"231","Annual Member",1433116800,174
"232","Annual Member",1433203200,235
"233","Annual Member",1433289600,358
"234","Annual Member",1433376000,334
"235","Annual Member",1433462400,386
"236","Annual Member",1433548800,354
"237","Annual Member",1433635200,171
"238","Annual Member",1433721600,158
"239","Annual Member",1433808000,368
"240","Annual Member",1433894400,389
"241","Annual Member",1433980800,382
"242","Annual Member",1434067200,380
"243","Annual Member",1434153600,352
"244","Annual Member",1434240000,220
"245","Annual Member",1434326400,137
"246","Annual Member",1434412800,324
"247","Annual Member",1434499200,377
"248","Annual Member",1434585600,373
"249","Annual Member",1434672000,361
"250","Annual Member",1434758400,312
"251","Annual Member",1434844800,150
"252","Annual Member",1434931200,130
"253","Annual Member",1435017600,322
"254","Annual Member",1435104000,374
"255","Annual Member",1435190400,384
"256","Annual Member",1435276800,391
"257","Annual Member",1435363200,357
"258","Annual Member",1435449600,151
"259","Annual Member",1435536000,159
"260","Annual Member",1435622400,384
"261","Annual Member",1435708800,414
"262","Annual Member",1435795200,411
"263","Annual Member",1435881600,401
"264","Annual Member",1435968000,209
"265","Annual Member",1436054400,143
"266","Annual Member",1436140800,147
"267","Annual Member",1436227200,393
"268","Annual Member",1436313600,376
"269","Annual Member",1436400000,444
"270","Annual Member",1436486400,398
"271","Annual Member",1436572800,378
"272","Annual Member",1436659200,170
"273","Annual Member",1436745600,153
"274","Annual Member",1436832000,380
"275","Annual Member",1436918400,423
"276","Annual Member",1437004800,410
"277","Annual Member",1437091200,433
"278","Annual Member",1437177600,361
"279","Annual Member",1437264000,216
"280","Annual Member",1437350400,108
"281","Annual Member",1437436800,364
"282","Annual Member",1437523200,394
"283","Annual Member",1437609600,399
"284","Annual Member",1437696000,397
"285","Annual Member",1437782400,335
"286","Annual Member",1437868800,154
"287","Annual Member",1437955200,132
"288","Annual Member",1438041600,348
"289","Annual Member",1438128000,408
"290","Annual Member",1438214400,420
"291","Annual Member",1438300800,386
"292","Annual Member",1438387200,346
"293","Annual Member",1438473600,155
"294","Annual Member",1438560000,137
"295","Annual Member",1438646400,378
"296","Annual Member",1438732800,380
"297","Annual Member",1438819200,400
"298","Annual Member",1438905600,383
"299","Annual Member",1438992000,378
"300","Annual Member",1439078400,203
"301","Annual Member",1439164800,156
"302","Annual Member",1439251200,336
"303","Annual Member",1439337600,403
"304","Annual Member",1439424000,381
"305","Annual Member",1439510400,383
"306","Annual Member",1439596800,249
"307","Annual Member",1439683200,176
"308","Annual Member",1439769600,159
"309","Annual Member",1439856000,339
"310","Annual Member",1439942400,400
"311","Annual Member",1440028800,403
"312","Annual Member",1440115200,345
"313","Annual Member",1440201600,369
"314","Annual Member",1440288000,173
"315","Annual Member",1440374400,141
"316","Annual Member",1440460800,367
"317","Annual Member",1440547200,358
"318","Annual Member",1440633600,385
"319","Annual Member",1440720000,361
"320","Annual Member",1440806400,321
"321","Annual Member",1440892800,107
"322","Annual Member",1440979200,166
"323","Annual Member",1441065600,309
"324","Annual Member",1441152000,261
"325","Annual Member",1441238400,347
"326","Annual Member",1441324800,391
"327","Annual Member",1441411200,317
"328","Annual Member",1441497600,125
"329","Annual Member",1441584000,105
"330","Annual Member",1441670400,130
"331","Annual Member",1441756800,322
"332","Annual Member",1441843200,387
"333","Annual Member",1441929600,354
"334","Annual Member",1442016000,353
"335","Annual Member",1442102400,144
"336","Annual Member",1442188800,100
"337","Annual Member",1442275200,295
"338","Annual Member",1442361600,340
"339","Annual Member",1442448000,360
"340","Annual Member",1442534400,273
"341","Annual Member",1442620800,285
"342","Annual Member",1442707200,127
"343","Annual Member",1442793600,113
"344","Annual Member",1442880000,324
"345","Annual Member",1442966400,380
"346","Annual Member",1443052800,379
"347","Annual Member",1443139200,376
"348","Annual Member",1443225600,287
"349","Annual Member",1443312000,143
"350","Annual Member",1443398400,110
"351","Annual Member",1443484800,333
"352","Annual Member",1443571200,394
"353","Annual Member",1443657600,339
"354","Annual Member",1443744000,383
"355","Annual Member",1443830400,328
"356","Annual Member",1443916800,126
"357","Annual Member",1444003200,147
"358","Annual Member",1444089600,330
"359","Annual Member",1444176000,333
"360","Annual Member",1444262400,234
"361","Annual Member",1444348800,374
"362","Annual Member",1444435200,314
"363","Annual Member",1444521600,91
"364","Annual Member",1444608000,130
"365","Annual Member",1444694400,322
"366","Short-Term Pass Holder",1413244800,125
"367","Short-Term Pass Holder",1413331200,223
"368","Short-Term Pass Holder",1413417600,101
"369","Short-Term Pass Holder",1413504000,127
"370","Short-Term Pass Holder",1413590400,99
"371","Short-Term Pass Holder",1413676800,221
"372","Short-Term Pass Holder",1413763200,427
"373","Short-Term Pass Holder",1413849600,125
"374","Short-Term Pass Holder",1413936000,105
"375","Short-Term Pass Holder",1414022400,27
"376","Short-Term Pass Holder",1414108800,65
"377","Short-Term Pass Holder",1414195200,156
"378","Short-Term Pass Holder",1414281600,92
"379","Short-Term Pass Holder",1414368000,133
"380","Short-Term Pass Holder",1414454400,90
"381","Short-Term Pass Holder",1414540800,47
"382","Short-Term Pass Holder",1414627200,106
"383","Short-Term Pass Holder",1414713600,24
"384","Short-Term Pass Holder",1414800000,45
"385","Short-Term Pass Holder",1414886400,277
"386","Short-Term Pass Holder",1414972800,150
"387","Short-Term Pass Holder",1415059200,25
"388","Short-Term Pass Holder",1415145600,55
"389","Short-Term Pass Holder",1415232000,52
"390","Short-Term Pass Holder",1415318400,69
"391","Short-Term Pass Holder",1415404800,93
"392","Short-Term Pass Holder",1415491200,322
"393","Short-Term Pass Holder",1415577600,122
"394","Short-Term Pass Holder",1415664000,138
"395","Short-Term Pass Holder",1415750400,72
"396","Short-Term Pass Holder",1415836800,48
"397","Short-Term Pass Holder",1415923200,71
"398","Short-Term Pass Holder",1416009600,63
"399","Short-Term Pass Holder",1416096000,136
"400","Short-Term Pass Holder",1416182400,102
"401","Short-Term Pass Holder",1416268800,64
"402","Short-Term Pass Holder",1416355200,40
"403","Short-Term Pass Holder",1416441600,85
"404","Short-Term Pass Holder",1416528000,28
"405","Short-Term Pass Holder",1416614400,35
"406","Short-Term Pass Holder",1416700800,137
"407","Short-Term Pass Holder",1416787200,92
"408","Short-Term Pass Holder",1416873600,33
"409","Short-Term Pass Holder",1416960000,20
"410","Short-Term Pass Holder",1417046400,82
"411","Short-Term Pass Holder",1417132800,78
"412","Short-Term Pass Holder",1417219200,22
"413","Short-Term Pass Holder",1417305600,27
"414","Short-Term Pass Holder",1417392000,31
"415","Short-Term Pass Holder",1417478400,39
"416","Short-Term Pass Holder",1417564800,36
"417","Short-Term Pass Holder",1417651200,23
"418","Short-Term Pass Holder",1417737600,38
"419","Short-Term Pass Holder",1417824000,19
"420","Short-Term Pass Holder",1417910400,42
"421","Short-Term Pass Holder",1417996800,66
"422","Short-Term Pass Holder",1418083200,23
"423","Short-Term Pass Holder",1418169600,48
"424","Short-Term Pass Holder",1418256000,17
"425","Short-Term Pass Holder",1418342400,10
"426","Short-Term Pass Holder",1418428800,42
"427","Short-Term Pass Holder",1418515200,105
"428","Short-Term Pass Holder",1418601600,115
"429","Short-Term Pass Holder",1418688000,44
"430","Short-Term Pass Holder",1418774400,42
"431","Short-Term Pass Holder",1418860800,16
"432","Short-Term Pass Holder",1418947200,7
"433","Short-Term Pass Holder",1419033600,41
"434","Short-Term Pass Holder",1419120000,24
"435","Short-Term Pass Holder",1419206400,56
"436","Short-Term Pass Holder",1419292800,84
"437","Short-Term Pass Holder",1419379200,18
"438","Short-Term Pass Holder",1419465600,22
"439","Short-Term Pass Holder",1419552000,122
"440","Short-Term Pass Holder",1419638400,108
"441","Short-Term Pass Holder",1419724800,62
"442","Short-Term Pass Holder",1419811200,60
"443","Short-Term Pass Holder",1419897600,41
"444","Short-Term Pass Holder",1419984000,38
"445","Short-Term Pass Holder",1420070400,45
"446","Short-Term Pass Holder",1420156800,110
"447","Short-Term Pass Holder",1420243200,20
"448","Short-Term Pass Holder",1420329600,76
"449","Short-Term Pass Holder",1420416000,8
"450","Short-Term Pass Holder",1420502400,18
"451","Short-Term Pass Holder",1420588800,52
"452","Short-Term Pass Holder",1420675200,51
"453","Short-Term Pass Holder",1420761600,72
"454","Short-Term Pass Holder",1420848000,57
"455","Short-Term Pass Holder",1420934400,40
"456","Short-Term Pass Holder",1421020800,30
"457","Short-Term Pass Holder",1421107200,29
"458","Short-Term Pass Holder",1421193600,36
"459","Short-Term Pass Holder",1421280000,33
"460","Short-Term Pass Holder",1421366400,17
"461","Short-Term Pass Holder",1421452800,66
"462","Short-Term Pass Holder",1421539200,60
"463","Short-Term Pass Holder",1421625600,26
"464","Short-Term Pass Holder",1421712000,96
"465","Short-Term Pass Holder",1421798400,22
"466","Short-Term Pass Holder",1421884800,35
"467","Short-Term Pass Holder",1421971200,22
"468","Short-Term Pass Holder",1422057600,21
"469","Short-Term Pass Holder",1422144000,100
"470","Short-Term Pass Holder",1422230400,139
"471","Short-Term Pass Holder",1422316800,80
"472","Short-Term Pass Holder",1422403200,24
"473","Short-Term Pass Holder",1422489600,44
"474","Short-Term Pass Holder",1422576000,29
"475","Short-Term Pass Holder",1422662400,43
"476","Short-Term Pass Holder",1422748800,98
"477","Short-Term Pass Holder",1422835200,63
"478","Short-Term Pass Holder",1422921600,14
"479","Short-Term Pass Holder",1423008000,21
"480","Short-Term Pass Holder",1423094400,26
"481","Short-Term Pass Holder",1423180800,16
"482","Short-Term Pass Holder",1423267200,28
