"","from","to","from_id","to_id","freq","from_lat","from_long","to_lat","to_long"
"46","Summit Ave E & E Republican St","7th Ave & Union St","CH-03","CBD-03",313,47.623367,-122.325279,47.610731,-122.332447
"47","15th Ave E & E Thomas St","Cal Anderson Park / 11th Ave & Pine St","CH-05","CH-08",310,47.620712,-122.312805,47.615486,-122.318245
"48","2nd Ave & Vine St","Westlake Ave & 6th Ave","BT-03","SLU-15",305,47.615829,-122.348564,47.613628,-122.337341
"49","Republican St & Westlake Ave N","2nd Ave & Vine St","SLU-04","BT-03",305,47.623165,-122.338203,47.615829,-122.348564
"50","2nd Ave & Spring St","Occidental Park / Occidental Ave S & S Washington St","CBD-06","PS-04",300,47.60595,-122.335768,47.600757,-122.332946
"51","Bellevue Ave & E Pine St","2nd Ave & Spring St","CH-12","CBD-06",300,47.615456,-122.326729,47.60595,-122.335768
"52","Republican St & Westlake Ave N","Westlake Ave & 6th Ave","SLU-04","SLU-15",299,47.623165,-122.338203,47.613628,-122.337341
"53","Westlake Ave & 6th Ave","REI / Yale Ave N & John St","SLU-15","SLU-01",296,47.613628,-122.337341,47.619859,-122.330304
"54","Summit Ave & E Denny Way","Summit Ave E & E Republican St","CH-01","CH-03",294,47.618633,-122.325249,47.623367,-122.325279
"55","15th Ave E & E Thomas St","E Pine St & 16th Ave","CH-05","CH-07",292,47.620712,-122.312805,47.61533,-122.311752
"56","Westlake Ave & 6th Ave","3rd Ave & Broad St","SLU-15","BT-01",292,47.613628,-122.337341,47.618418,-122.350964
"57","Children's Hospital / Sandpoint Way NE & 40th Ave NE","Burke-Gilman Trail / NE Blakeley St & 24th Ave NE","DPD-03","UD-01",290,47.663509,-122.284119,47.666145,-122.301491
"58","9th Ave N & Mercer St","6th Ave & Blanchard St","DPD-01","BT-04",286,47.624298,-122.339617,47.616094,-122.341102
"59","Seattle Aquarium / Alaskan Way S & Elliott Bay Trail","3rd Ave & Broad St","WF-04","BT-01",285,47.607702,-122.34165,47.618418,-122.350964
"60","Cal Anderson Park / 11th Ave & Pine St","2nd Ave & Spring St","CH-08","CBD-06",284,47.615486,-122.318245,47.60595,-122.335768
"61","E Harrison St & Broadway Ave E","2nd Ave & Pine St","CH-02","CBD-13",284,47.622063,-122.321251,47.610185,-122.339641
"62","15th Ave E & E Thomas St","7th Ave & Union St","CH-05","CBD-03",283,47.620712,-122.312805,47.610731,-122.332447
"63","Summit Ave & E Denny Way","Occidental Park / Occidental Ave S & S Washington St","CH-01","PS-04",279,47.618633,-122.325249,47.600757,-122.332946
"64","Pier 69 / Alaskan Way & Clay St","Occidental Park / Occidental Ave S & S Washington St","WF-01","PS-04",277,47.614315,-122.354093,47.600757,-122.332946
"65","Republican St & Westlake Ave N","Dexter Ave N & Aloha St","SLU-04","SLU-02",277,47.623165,-122.338203,47.627735,-122.342232
