"date","precipitation","count"
"233",2015-06-02,0,460
"234",2015-06-03,0,460
"235",2015-06-04,0,564
"236",2015-06-05,0,599
"237",2015-06-06,0,518
"238",2015-06-07,0,474
"239",2015-06-08,0,567
"240",2015-06-09,0,564
"241",2015-06-10,0,521
"242",2015-06-11,0,611
"243",2015-06-12,0,559
"244",2015-06-13,0,716
"245",2015-06-14,0,507
"246",2015-06-15,0,606
"247",2015-06-16,0,596
"248",2015-06-17,0,562
"249",2015-06-18,0,605
"250",2015-06-19,0.07,501
"251",2015-06-20,0,556
"252",2015-06-21,0,434
"253",2015-06-22,0,535
"254",2015-06-23,0,514
"255",2015-06-24,0,568
"256",2015-06-25,0,569
"257",2015-06-26,0,561
"258",2015-06-27,0,458
"259",2015-06-28,0,404
"260",2015-06-29,0.01,539
"261",2015-06-30,0,548
"262",2015-07-01,0,531
"263",2015-07-02,0,606
"264",2015-07-03,0,630
"265",2015-07-04,0,759
"266",2015-07-05,0,545
"267",2015-07-06,0,646
"268",2015-07-07,0,581
"269",2015-07-08,0,651
"270",2015-07-09,0,660
"271",2015-07-10,0,648
"272",2015-07-11,0,524
"273",2015-07-12,0,550
"274",2015-07-13,0,681
"275",2015-07-14,0,642
"276",2015-07-15,0,663
"277",2015-07-16,0,667
"278",2015-07-17,0,700
"279",2015-07-18,0,686
"280",2015-07-19,0,550
"281",2015-07-20,0,500
"282",2015-07-21,0.13,547
"283",2015-07-22,0,648
"284",2015-07-23,0,641
"285",2015-07-24,0.01,515
"286",2015-07-25,0.02,563
"287",2015-07-26,0.1,363
"288",2015-07-27,0.01,611
"289",2015-07-28,0,672
"290",2015-07-29,0,656
"291",2015-07-30,0,597
"292",2015-07-31,0,575
"293",2015-08-01,0,674
"294",2015-08-02,0,495
"295",2015-08-03,0,636
"296",2015-08-04,0,613
"297",2015-08-05,0,621
"298",2015-08-06,0,635
"299",2015-08-07,0,640
"300",2015-08-08,0,566
"301",2015-08-09,0,600
"302",2015-08-10,0,588
"303",2015-08-11,0,597
"304",2015-08-12,0.04,604
"305",2015-08-13,0,632
"306",2015-08-14,0.57,347
"307",2015-08-15,0,550
"308",2015-08-16,0,557
"309",2015-08-17,0,580
"310",2015-08-18,0,598
"311",2015-08-19,0,638
"312",2015-08-20,0,515
"313",2015-08-21,0,619
"314",2015-08-22,0,509
"315",2015-08-23,0,430
"316",2015-08-24,0,629
"317",2015-08-25,0,518
"318",2015-08-26,0,560
"319",2015-08-27,0,583
"320",2015-08-28,0.01,496
"321",2015-08-29,0.18,274
"322",2015-08-30,0.24,330
"323",2015-08-31,0.06,412
"324",2015-09-01,0.17,318
"325",2015-09-02,0.02,447
