"date","temperature","precipitation","count"
2015-05-28,70,0,636
2015-05-29,71,0,625
2015-05-30,63,0,585
2015-05-31,65,0,538
2015-06-01,60,0.09,323
2015-06-02,60,0,460
2015-06-03,62,0,460
2015-06-04,65,0,564
2015-06-05,68,0,599
2015-06-06,72,0,518
2015-06-07,74,0,474
2015-06-08,73,0,567
2015-06-09,72,0,564
2015-06-10,68,0,521
2015-06-11,66,0,611
2015-06-12,64,0,559
2015-06-13,64,0,716
2015-06-14,69,0,507
2015-06-15,72,0,606
2015-06-16,64,0,596
2015-06-17,67,0,562
2015-06-18,70,0,605
2015-06-19,66,0.07,501
2015-06-20,66,0,556
2015-06-21,70,0,434
2015-06-22,67,0,535
2015-06-23,68,0,514
2015-06-24,72,0,568
2015-06-25,76,0,569
2015-06-26,76,0,561
2015-06-27,78,0,458
2015-06-28,76,0,404
2015-06-29,78,0.01,539
2015-06-30,75,0,548
2015-07-01,76,0,531
2015-07-02,80,0,606
2015-07-03,80,0,630
2015-07-04,77,0,759
2015-07-05,78,0,545
2015-07-06,74,0,646
2015-07-07,70,0,581
2015-07-08,74,0,651
2015-07-09,73,0,660
2015-07-10,68,0,648
2015-07-11,68,0,524
2015-07-12,72,0,550
2015-07-13,72,0,681
2015-07-14,72,0,642
2015-07-15,72,0,663
2015-07-16,72,0,667
2015-07-17,71,0,700
2015-07-18,78,0,686
2015-07-19,83,0,550
2015-07-20,74,0,500
2015-07-21,68,0.13,547
2015-07-22,68,0,648
2015-07-23,71,0,641
2015-07-24,67,0.01,515
2015-07-25,66,0.02,563
2015-07-26,66,0.1,363
2015-07-27,65,0.01,611
2015-07-28,72,0,672
2015-07-29,75,0,656
2015-07-30,78,0,597
2015-07-31,80,0,575
2015-08-01,77,0,674
2015-08-02,77,0,495
2015-08-03,76,0,636
2015-08-04,70,0,613
2015-08-05,65,0,621
2015-08-06,70,0,635
2015-08-07,72,0,640
2015-08-08,70,0,566
2015-08-09,72,0,600
2015-08-10,75,0,588
2015-08-11,76,0,597
2015-08-12,75,0.04,604
2015-08-13,74,0,632
2015-08-14,65,0.57,347
2015-08-15,66,0,550
2015-08-16,68,0,557
2015-08-17,70,0,580
2015-08-18,74,0,598
2015-08-19,78,0,638
2015-08-20,68,0,515
2015-08-21,66,0,619
2015-08-22,68,0,509
2015-08-23,70,0,430
2015-08-24,66,0,629
2015-08-25,68,0,518
2015-08-26,71,0,560
2015-08-27,74,0,583
2015-08-28,70,0.01,496
2015-08-29,66,0.18,274
2015-08-30,65,0.24,330
2015-08-31,66,0.06,412
2015-09-01,64,0.17,318
2015-09-02,63,0.02,447
2015-09-03,60,0,513
2015-09-04,60,0,439
2015-09-05,58,0.06,302
2015-09-06,58,0.19,344
2015-09-07,66,0,458
2015-09-08,67,0,409
2015-09-09,69,0,575
2015-09-10,68,0.01,527
2015-09-11,72,0,634
2015-09-12,71,0,514
2015-09-13,66,0.03,261
2015-09-14,58,0,421
2015-09-15,59,0,436
2015-09-16,60,0.04,476
2015-09-17,62,0.58,311
2015-09-18,64,0.01,494
2015-09-19,66,0,384
2015-09-20,66,0.09,316
2015-09-21,60,0,401
2015-09-22,57,0,463
2015-09-23,60,0,470
2015-09-24,64,0,547
2015-09-25,61,0.03,385
2015-09-26,60,0,488
2015-09-27,55,0,319
2015-09-28,61,0,504
2015-09-29,62,0,533
2015-09-30,60,0,445
2015-10-01,60,0.01,449
2015-10-02,58,0,434
2015-10-03,62,0,372
2015-10-04,62,0,462
2015-10-05,62,0,489
2015-10-06,60,0.01,397
2015-10-07,60,0.38,253
2015-10-08,64,0,431
2015-10-09,62,0.01,370
2015-10-10,66,0.77,127
2015-10-11,60,0,319
2015-10-12,61,0.34,393
