"","from","to","freq"
"236","CBD03","SLU20",18
"237","CBD03","UD01",3
"238","CBD03","UD02",3
"239","CBD03","UD04",11
"240","CBD03","UD07",6
"241","CBD03","UW02",3
"242","CBD03","UW04",3
"243","CBD03","UW07",3
"244","CBD03","UW10",1
"245","CBD03","WF01",107
"246","CBD03","WF04",67
"247","CBD04","BT01",47
"248","CBD04","BT03",21
"249","CBD04","BT04",13
"250","CBD04","BT05",22
"251","CBD04","CBD03",10
"252","CBD04","CBD04",34
"253","CBD04","CBD05",9
"254","CBD04","CBD06",7
"255","CBD04","CBD07",11
"256","CBD04","CBD13",20
"257","CBD04","CD01",4
"258","CBD04","CH01",4
"259","CBD04","CH03",11
"260","CBD04","CH06",1
"261","CBD04","CH07",1
"262","CBD04","CH08",3
"263","CBD04","CH09",7
"264","CBD04","CH12",14
"265","CBD04","CH15",2
"266","CBD04","DPD01",2
"267","CBD04","EL01",1
"268","CBD04","EL03",11
"269","CBD04","EL05",2
"270","CBD04","FH01",1
"271","CBD04","FH04",2
"272","CBD04","ID04",17
"273","CBD04","PS04",72
"274","CBD04","PS05",54
"275","CBD04","SLU01",21
"276","CBD04","SLU02",11
"277","CBD04","SLU04",6
"278","CBD04","SLU07",65
"279","CBD04","SLU15",15
"280","CBD04","SLU16",21
"281","CBD04","SLU17",7
"282","CBD04","SLU18",11
"283","CBD04","SLU19",52
"284","CBD04","SLU20",12
"285","CBD04","UD02",4
"286","CBD04","WF01",33
"287","CBD04","WF04",29
"288","CBD05","BT01",117
"289","CBD05","BT03",118
"290","CBD05","BT04",171
"291","CBD05","BT05",154
"292","CBD05","CBD03",76
"293","CBD05","CBD04",13
"294","CBD05","CBD05",215
"295","CBD05","CBD06",45
"296","CBD05","CBD07",19
"297","CBD05","CBD13",242
"298","CBD05","CD01",2
"299","CBD05","CH01",50
"300","CBD05","CH02",13
"301","CBD05","CH03",1
"302","CBD05","CH05",8
"303","CBD05","CH06",7
"304","CBD05","CH07",5
"305","CBD05","CH08",10
"306","CBD05","CH09",13
"307","CBD05","CH12",18
"308","CBD05","CH15",3
"309","CBD05","DPD01",12
"310","CBD05","EL01",11
"311","CBD05","EL03",9
"312","CBD05","EL05",3
"313","CBD05","FH01",11
"314","CBD05","FH04",3
"315","CBD05","ID04",86
"316","CBD05","PS04",176
"317","CBD05","PS05",180
"318","CBD05","SLU01",25
"319","CBD05","SLU02",14
"320","CBD05","SLU04",36
"321","CBD05","SLU07",26
"322","CBD05","SLU15",186
"323","CBD05","SLU16",15
"324","CBD05","SLU17",14
"325","CBD05","SLU18",16
"326","CBD05","SLU19",166
"327","CBD05","SLU20",5
"328","CBD05","UD04",6
"329","CBD05","UD07",2
"330","CBD05","UW06",1
"331","CBD05","UW07",1
"332","CBD05","WF01",415
"333","CBD05","WF04",178
"334","CBD06","BT01",340
"335","CBD06","BT03",93
"336","CBD06","BT04",71
"337","CBD06","BT05",99
"338","CBD06","CBD03",58
"339","CBD06","CBD04",10
"340","CBD06","CBD05",61
"341","CBD06","CBD06",145
"342","CBD06","CBD07",80
"343","CBD06","CBD13",203
"344","CBD06","CD01",5
"345","CBD06","CH01",19
"346","CBD06","CH02",15
"347","CBD06","CH03",7
"348","CBD06","CH05",38
"349","CBD06","CH06",11
"350","CBD06","CH07",17
"351","CBD06","CH08",24
"352","CBD06","CH09",12
"353","CBD06","CH12",40
"354","CBD06","CH15",4
"355","CBD06","DPD01",25
"356","CBD06","EL01",8
"357","CBD06","EL03",10
"358","CBD06","EL05",7
"359","CBD06","FH01",4
"360","CBD06","FH04",12
"361","CBD06","ID04",117
"362","CBD06","Pronto shop",1
"363","CBD06","PS04",300
"364","CBD06","PS05",235
"365","CBD06","SLU01",56
"366","CBD06","SLU02",111
"367","CBD06","SLU04",45
"368","CBD06","SLU07",64
"369","CBD06","SLU15",162
"370","CBD06","SLU16",71
"371","CBD06","SLU17",30
"372","CBD06","SLU18",23
"373","CBD06","SLU19",139
"374","CBD06","SLU20",10
"375","CBD06","UD01",1
"376","CBD06","UD04",4
"377","CBD06","UD07",1
"378","CBD06","UW04",2
"379","CBD06","WF01",134
"380","CBD06","WF04",86
"381","CBD07","BT01",127
"382","CBD07","BT03",58
"383","CBD07","BT04",26
"384","CBD07","BT05",56
"385","CBD07","CBD03",35
"386","CBD07","CBD04",19
"387","CBD07","CBD05",51
"388","CBD07","CBD06",85
"389","CBD07","CBD07",112
"390","CBD07","CBD13",119
"391","CBD07","CD01",1
"392","CBD07","CH01",13
"393","CBD07","CH02",3
"394","CBD07","CH03",4
"395","CBD07","CH05",7
"396","CBD07","CH06",2
"397","CBD07","CH07",13
"398","CBD07","CH08",18
"399","CBD07","CH09",6
"400","CBD07","CH12",8
"401","CBD07","CH15",10
"402","CBD07","DPD01",18
"403","CBD07","EL01",5
"404","CBD07","EL03",29
"405","CBD07","EL05",4
"406","CBD07","FH01",11
"407","CBD07","FH04",10
"408","CBD07","ID04",183
"409","CBD07","Pronto shop",1
"410","CBD07","PS04",124
"411","CBD07","PS05",139
"412","CBD07","SLU01",89
"413","CBD07","SLU02",25
"414","CBD07","SLU04",33
"415","CBD07","SLU07",42
"416","CBD07","SLU15",69
"417","CBD07","SLU16",24
"418","CBD07","SLU17",9
"419","CBD07","SLU18",34
"420","CBD07","SLU19",79
"421","CBD07","SLU20",7
"422","CBD07","SLU21",1
"423","CBD07","UD01",1
