"","freq","from","to"
"207",10,"CBD03","CD01"
"208",56,"CBD03","CH01"
"209",39,"CBD03","CH02"
"210",62,"CBD03","CH03"
"211",28,"CBD03","CH05"
"212",6,"CBD03","CH06"
"213",29,"CBD03","CH07"
"214",65,"CBD03","CH08"
"215",66,"CBD03","CH09"
"216",50,"CBD03","CH12"
"217",19,"CBD03","CH15"
"218",73,"CBD03","DPD01"
"219",33,"CBD03","EL01"
"220",56,"CBD03","EL03"
"221",12,"CBD03","EL05"
"222",29,"CBD03","FH01"
"223",23,"CBD03","FH04"
"224",54,"CBD03","ID04"
"225",172,"CBD03","PS04"
"226",102,"CBD03","PS05"
"227",174,"CBD03","SLU01"
"228",115,"CBD03","SLU02"
"229",95,"CBD03","SLU04"
"230",160,"CBD03","SLU07"
"231",59,"CBD03","SLU15"
"232",34,"CBD03","SLU16"
"233",43,"CBD03","SLU17"
"234",69,"CBD03","SLU18"
"235",98,"CBD03","SLU19"
"236",18,"CBD03","SLU20"
"237",3,"CBD03","UD01"
"238",3,"CBD03","UD02"
"239",11,"CBD03","UD04"
"240",6,"CBD03","UD07"
"241",3,"CBD03","UW02"
"242",3,"CBD03","UW04"
"243",3,"CBD03","UW07"
"244",1,"CBD03","UW10"
"245",107,"CBD03","WF01"
"246",67,"CBD03","WF04"
"247",47,"CBD04","BT01"
"248",21,"CBD04","BT03"
"249",13,"CBD04","BT04"
"250",22,"CBD04","BT05"
"251",10,"CBD04","CBD03"
"252",34,"CBD04","CBD04"
"253",9,"CBD04","CBD05"
"254",7,"CBD04","CBD06"
"255",11,"CBD04","CBD07"
"256",20,"CBD04","CBD13"
"257",4,"CBD04","CD01"
"258",4,"CBD04","CH01"
"259",11,"CBD04","CH03"
"260",1,"CBD04","CH06"
"261",1,"CBD04","CH07"
"262",3,"CBD04","CH08"
"263",7,"CBD04","CH09"
"264",14,"CBD04","CH12"
"265",2,"CBD04","CH15"
"266",2,"CBD04","DPD01"
"267",1,"CBD04","EL01"
"268",11,"CBD04","EL03"
"269",2,"CBD04","EL05"
"270",1,"CBD04","FH01"
"271",2,"CBD04","FH04"
"272",17,"CBD04","ID04"
"273",72,"CBD04","PS04"
"274",54,"CBD04","PS05"
"275",21,"CBD04","SLU01"
"276",11,"CBD04","SLU02"
"277",6,"CBD04","SLU04"
"278",65,"CBD04","SLU07"
"279",15,"CBD04","SLU15"
"280",21,"CBD04","SLU16"
"281",7,"CBD04","SLU17"
"282",11,"CBD04","SLU18"
"283",52,"CBD04","SLU19"
"284",12,"CBD04","SLU20"
"285",4,"CBD04","UD02"
"286",33,"CBD04","WF01"
"287",29,"CBD04","WF04"
"288",117,"CBD05","BT01"
"289",118,"CBD05","BT03"
"290",171,"CBD05","BT04"
"291",154,"CBD05","BT05"
"292",76,"CBD05","CBD03"
"293",13,"CBD05","CBD04"
"294",215,"CBD05","CBD05"
"295",45,"CBD05","CBD06"
"296",19,"CBD05","CBD07"
"297",242,"CBD05","CBD13"
"298",2,"CBD05","CD01"
"299",50,"CBD05","CH01"
"300",13,"CBD05","CH02"
"301",1,"CBD05","CH03"
"302",8,"CBD05","CH05"
"303",7,"CBD05","CH06"
"304",5,"CBD05","CH07"
"305",10,"CBD05","CH08"
"306",13,"CBD05","CH09"
"307",18,"CBD05","CH12"
"308",3,"CBD05","CH15"
"309",12,"CBD05","DPD01"
"310",11,"CBD05","EL01"
"311",9,"CBD05","EL03"
"312",3,"CBD05","EL05"
"313",11,"CBD05","FH01"
"314",3,"CBD05","FH04"
"315",86,"CBD05","ID04"
"316",176,"CBD05","PS04"
"317",180,"CBD05","PS05"
